Setting up Training Environment...
Creating Liquid PPO Agent...
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Starting Training (This may take a while)...
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 1e+03     |
|    ep_rew_mean     | -1.79e+04 |
| time/              |           |
|    fps             | 465       |
|    iterations      | 1         |
|    time_elapsed    | 4         |
|    total_timesteps | 2048      |
----------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.91e+04   |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 2           |
|    time_elapsed         | 169         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.004881427 |
|    clip_fraction        | 0.0184      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.67       |
|    explained_variance   | 0.000221    |
|    learning_rate        | 0.0003      |
|    loss                 | 4.46e+04    |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00155    |
|    std                  | 0.998       |
|    value_loss           | 9.86e+04    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -2.01e+04    |
| time/                   |              |
|    fps                  | 31           |
|    iterations           | 3            |
|    time_elapsed         | 196          |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0020806824 |
|    clip_fraction        | 0.00215      |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.66        |
|    explained_variance   | -6.6e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 6.96e+04     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.000315    |
|    std                  | 0.996        |
|    value_loss           | 1.37e+05     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -2.08e+04    |
| time/                   |              |
|    fps                  | 36           |
|    iterations           | 4            |
|    time_elapsed         | 226          |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0041169263 |
|    clip_fraction        | 0.0206       |
|    clip_range           | 0.2          |
|    entropy_loss         | -5.66        |
|    explained_variance   | -5.96e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 7.12e+04     |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.00234     |
|    std                  | 0.994        |
|    value_loss           | 1.63e+05     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -2.1e+04    |
| time/                   |             |
|    fps                  | 42          |
|    iterations           | 5           |
